"","X.1","Longitude","Latitude","Reference","Gear_Type","month","year","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Temperature.Min","Salinity.Min","Dissolved.oxygen.Min","BottomVegCover","Hill0_raw","SeagrassCover","ID","X","Y","thinning","Effort"
"14",14,-85.702133,30.1215,"APM2002073004","OtterTrawl",7,2002,1,0,0,0,0,0,0,-3.3,0.857763469219208,119.920501708984,0.0386506728827953,16.4040393829346,28.0511455535889,198.502822875977,0,4,0,669,46789.4398299164,3341594.51757431,1,NA
"15",15,-87.109833,30.453433,"APM2003073105","OtterTrawl",7,2003,1,1,0,0,0,0,0,-2.5,0.847007215023041,27.3972454071045,0.0297227092087269,16.1990032196045,19.9618148803711,200.380294799805,0,4,0,851,-87126.1797528454,3384935.37898351,1,NA
"16",16,-87.1487,30.544883,"APM2003083901","OtterTrawl",8,2003,0,1,0,0,0,0,0,-2.5,1.00230288505554,25.8222408294678,0.0292038861662149,16.113468170166,19.7961940765381,200.489364624023,0,7,0,861,-90312.4324513861,3395301.69684807,1,NA
"17",17,-84.949067,29.642833,"APM2004073401","OtterTrawl",7,2004,0,1,0,0,0,0,0,-3.4,1.59452319145203,60.8803405761719,0.0368826054036617,15.7002582550049,30.5900192260742,195.199081420898,0,15,0,980,117609.421436536,3285733.70651329,1,NA
"18",18,-84.6624,29.829117,"APM2004091106","OtterTrawl",9,2004,1,1,0,0,0,0,0,-3.3,1.15368926525116,26.2405891418457,0.0306273009628057,15.0227499008179,31.0631217956543,193.79084777832,0,27,0,1002,146043.773200025,3305482.29275795,1,NA
"19",19,-85.04415,29.6099,"APM2005030501","OtterTrawl",3,2005,1,1,0,0,0,0,0,-3.4,0.924137651920319,70.4029159545898,0.0391164273023605,15.8658924102783,30.7846794128418,195.583129882812,0,11,0,1072,108267.004957042,3282398.41720673,1,NA
"20",20,-84.85175,29.7131,"APM2005040102","OtterTrawl",4,2005,0,1,0,0,0,0,0,-2.9,3.54885101318359,48.7194747924805,0.0346838310360909,15.4152326583862,30.4746875762939,194.51594543457,0,23,0,1084,127299.924639312,3293210.49036214,1,NA
"21",21,-84.957817,29.679067,"APM2005040103","OtterTrawl",4,2005,0,1,0,0,0,0,0,-2.8,4.99214220046997,59.1329574584961,0.0376002863049507,15.6501770019531,30.2599048614502,195.195938110352,0,8,0,1085,116899.09306043,3289782.42827904,1,NA
"22",22,-84.9662,29.657383,"APM2005040104","OtterTrawl",4,2005,0,1,0,0,0,0,0,-3,3.96564936637878,61.2278900146484,0.0372832901775837,15.6982746124268,30.2122592926025,195.239486694336,0,19,0,1086,116004.429109179,3287404.67990803,1,NA
"23",23,-84.959183,29.6444,"APM2005040105","OtterTrawl",4,2005,1,1,0,0,0,0,0,-3,2.43118619918823,61.5409698486328,0.0369457378983498,15.7049970626831,30.2159938812256,195.218383789062,0,10,0,1087,116635.033329125,3285941.06244033,1,NA
"24",24,-84.984717,29.613783,"APM2005040106","OtterTrawl",4,2005,1,1,0,0,0,0,0,-2,0.646603941917419,65.6095275878906,0.0379186011850834,15.7749614715576,30.7157688140869,195.354232788086,0,21,0,1088,114043.57450987,3282629.40168143,1,NA
"25",25,-84.9853,29.666433,"APM2005040107","OtterTrawl",4,2005,0,1,0,0,0,0,0,-2,5.45927000045776,62.1548767089844,0.0375488288700581,15.7243366241455,30.1733646392822,195.30989074707,0,13,0,1089,114188.312768826,3288472.33662079,1,NA
"26",26,-84.794417,29.75445,"APM2005040302","OtterTrawl",4,2005,1,0,0,0,0,0,0,-3.8,1.64312946796417,41.4877319335938,0.0336242094635963,15.3890981674194,30.6555461883545,194.40055847168,0,19,0,1091,133002.602947907,3297613.47116396,1,NA
"27",27,-85.05455,29.641333,"APM2005050303","OtterTrawl",5,2005,0,1,0,0,0,0,0,-2,3.48809766769409,69.2181701660156,0.0386494733393192,15.8520126342773,29.9953842163086,195.556488037109,0,22,0,1115,107380.951002594,3285921.00863968,1,NA
"28",28,-85.002883,29.6305,"APM2005050304","OtterTrawl",5,2005,1,0,0,0,0,0,0,-3.7,2.80039238929749,65.9051895141602,0.0377757996320724,15.7841339111328,30.1142463684082,195.377334594727,0,15,0,1116,112346.708155665,3284544.7603002,1,NA
"29",29,-84.6473,29.8397,"APM2005070102","OtterTrawl",7,2005,1,0,0,0,0,0,0,-2.8,0.865768134593964,24.4137573242188,0.0304669737815857,15.0152673721313,31.1134605407715,193.767959594727,0,25,0,1147,147541.358265186,3306609.75355677,1,NA
"30",30,-85.055733,29.641617,"APM2005070402","OtterTrawl",7,2005,1,1,0,0,0,0,0,-2.9,3.43834400177002,69.2312164306641,0.0386401787400246,15.8533687591553,29.9925308227539,195.559860229492,0,16,0,1148,107267.402722886,3285956.53703516,1,NA
"31",31,-85.013633,29.619733,"APM2005070405","OtterTrawl",7,2005,1,0,0,0,0,0,0,-3.5,1.67051422595978,67.4688034057617,0.0382819883525372,15.8086786270142,30.372745513916,195.435943603516,0,24,0,1149,111263.333297719,3283386.34733837,1,NA
"32",32,-84.848333,29.7362,"APM2005080501","OtterTrawl",8,2005,0,1,0,0,0,0,0,-3.5,1.44303929805756,46.836612701416,0.0344677679240704,15.4210271835327,30.5265769958496,194.536254882812,0,23,0,1174,127716.282300436,3295761.96904747,1,NA
"33",33,-84.83085,29.74925,"APM2005080502","OtterTrawl",8,2005,1,0,0,0,0,0,0,-2.9,0.891693711280823,44.5921058654785,0.0341425687074661,15.4132585525513,30.5827407836914,194.502685546875,0,16,0,1175,129456.952216121,3297153.26598532,1,NA
"34",34,-84.678883,29.822233,"APM2005080504","OtterTrawl",8,2005,1,1,0,0,0,0,0,-3,1.01612520217896,28.0249404907227,0.0307913161814213,15.0342388153076,31.02028465271,193.807861328125,0,27,0,1176,144425.227663758,3304769.57984884,1,NA
"35",35,-84.558717,29.87345,"APM2005080505","OtterTrawl",8,2005,1,1,0,0,0,0,0,-2.8,2.16412329673767,15.5264129638672,0.0284730233252048,14.7740745544434,31.2317485809326,193.334365844727,0,14,0,1177,156223.184009106,3310084.72669622,1,NA
"36",36,-84.830933,29.709117,"APM2005080506","OtterTrawl",8,2005,1,1,0,0,0,0,0,-3.1,3.55218744277954,47.350025177002,0.0344865843653679,15.396689414978,30.5007877349854,194.469375610352,0,28,0,1178,129301.08049066,3292701.56639715,1,NA
"37",37,-84.94725,29.749683,"APM2005080908","OtterTrawl",8,2005,0,1,0,0,0,0,0,-2.8,0.080606497824192,53.9193420410156,0.0370070785284042,15.6351795196533,30.3575572967529,195.167495727539,0,2,0,1185,118190.715371698,3297581.40417693,1,NA
"38",38,-85.020583,29.650433,"APM2005090801","OtterTrawl",9,2005,0,1,0,0,0,0,0,-3,5.1441707611084,65.9307403564453,0.0379825346171856,15.7991552352905,30.0844173431396,195.441711425781,0,9,0,1200,110708.006301453,3286815.66240699,1,NA
"39",39,-84.993667,29.646217,"APM2005090803","OtterTrawl",9,2005,1,1,0,0,0,0,0,-3.8,4.32508230209351,64.1355667114258,0.0375748611986637,15.7582635879517,30.1415004730225,195.344223022461,0,11,0,1202,113300.164344746,3286257.54372512,1,NA
"40",40,-84.652283,29.824817,"APM2005110309","OtterTrawl",11,2005,0,1,0,0,0,0,0,-2.7,2.0489342212677,25.8434886932373,0.0305416472256184,15.0129899978638,31.0770034790039,193.788208007812,0,6,0,1229,147007.072284521,3304974.22827127,1,NA
"41",41,-84.96445,29.659967,"APM2005110401","OtterTrawl",11,2005,0,1,0,0,0,0,0,-2.6,4.0657901763916,60.9315910339355,0.03730458766222,15.6917247772217,30.2185249328613,195.232055664062,0,6,0,1230,116183.828745954,3287685.52921805,1,NA
"42",42,-84.967317,29.659467,"APM2005110402","OtterTrawl",11,2005,0,1,0,0,0,0,0,-2.8,4.15543842315674,61.1806869506836,0.0373174622654915,15.6975011825562,30.211856842041,195.241897583008,0,20,0,1231,115904.130126951,3287639.59034133,1,NA
"43",43,-85.055933,29.631,"APM2005110403","OtterTrawl",11,2005,0,1,0,0,0,0,0,-2.4,2.61382937431335,69.9933624267578,0.0388947166502476,15.8512525558472,29.9918556213379,195.552978515625,0,11,0,1232,107206.717231149,3284779.31513418,1,NA
"44",44,-84.87195,29.711617,"APM2005110407","OtterTrawl",11,2005,0,1,0,0,0,0,0,-2,1.94393920898438,50.3215370178223,0.0349047444760799,15.4313716888428,30.4416580200195,194.556335449219,0,10,0,1233,125338.309217865,3293111.42700764,1,NA
"45",45,-84.805467,29.749367,"APM2005110408","OtterTrawl",11,2005,1,0,0,0,0,0,0,-3,1.72351539134979,42.6595039367676,0.0338176414370537,15.3946361541748,30.6259746551514,194.431015014648,0,5,0,1234,131914.429264772,3297084.87597032,1,NA
"46",46,-84.571617,29.83305,"APM2006030206","OtterTrawl",3,2006,1,0,0,0,0,0,0,-3.3,0.66638720035553,19.7798118591309,0.0294866058975458,14.8622159957886,32.2184867858887,193.564636230469,0,6,0,1301,154836.983203599,3305642.45783622,1,NA
"47",47,-84.960767,29.62085,"APM2006040303","OtterTrawl",4,2006,1,0,0,0,0,0,0,-2,0.403209328651428,63.2527122497559,0.0369069948792458,15.737847328186,30.3861198425293,195.245666503906,0,8,0,1322,116392.088380935,3283333.72355422,1,NA
"48",48,-84.996167,29.6262,"APM2006040304","OtterTrawl",4,2006,0,1,0,0,0,0,0,-3.8,2.25336122512817,65.6688690185547,0.0376080125570297,15.7789134979248,30.1251258850098,195.354797363281,0,15,0,1323,112981.176551378,3284045.21335132,1,NA
"49",49,-84.82745,29.697383,"APM2006040501","OtterTrawl",4,2006,0,1,0,0,0,0,0,-3.1,2.1983163356781,47.8601684570312,0.0348400697112083,15.4045057296753,30.9897689819336,194.50846862793,0,13,0,1324,129595.218159768,3291388.72711929,1,NA
"50",50,-85.031617,29.657417,"APM2006050202","OtterTrawl",5,2006,1,0,0,0,0,0,0,-2.8,3.9929633140564,66.3035659790039,0.038019560277462,15.8158235549927,30.0609683990479,195.484130859375,0,11,0,1341,109665.75672936,3287627.72287781,1,NA
"51",51,-85.001267,29.639483,"APM2006050203","OtterTrawl",5,2006,0,1,0,0,0,0,0,-3.5,3.80004286766052,65.1621017456055,0.0377161465585232,15.775164604187,30.1219539642334,195.371490478516,0,15,0,1342,112537.808590999,3285535.92563504,1,NA
"52",52,-85.062133,29.653167,"APM2006050206","OtterTrawl",5,2006,1,1,0,0,0,0,0,-2.4,2.22043800354004,69.032958984375,0.0384486019611359,15.8673439025879,29.967945098877,195.593444824219,0,7,0,1343,106692.148054787,3287259.72528993,1,NA
"53",53,-84.944,29.661117,"APM2006060101","OtterTrawl",6,2006,1,1,0,0,0,0,0,-3.4,2.56199288368225,59.2649917602539,0.0370756089687347,15.6630840301514,30.6530723571777,195.156829833984,0,14,0,1360,118169.648127906,3287745.32755484,1,NA
"54",54,-84.952317,29.674267,"APM2006060102","OtterTrawl",6,2006,1,1,0,0,0,0,0,-3,4.2009425163269,59.0164260864258,0.0373898036777973,15.6499118804932,30.3793716430664,195.171768188477,0,15,0,1361,117413.689009269,3289231.68546981,1,NA
"55",55,-84.97525,29.654083,"APM2006060103","OtterTrawl",6,2006,1,1,0,0,0,0,0,-3,4.3361701965332,62.1598815917969,0.0373513326048851,15.7189044952393,30.1882076263428,195.275085449219,0,12,0,1362,115114.925560492,3287068.69947795,1,NA
"56",56,-84.995067,29.660983,"APM2006060104","OtterTrawl",6,2006,1,0,0,0,0,0,0,-2.8,5.84682559967041,63.2644500732422,0.0376166254281998,15.7481927871704,30.1462306976318,195.348983764648,0,10,0,1363,113221.097338835,3287900.38121937,1,NA
"57",57,-84.97,29.635783,"APM2006060105","OtterTrawl",6,2006,1,1,0,0,0,0,0,-3.5,2.28655123710632,62.936840057373,0.0370261743664742,15.7329587936401,30.1852226257324,195.2607421875,0,16,0,1364,115553.958832808,3285021.03668449,1,NA
"58",58,-84.9955,29.649017,"APM2006060106","OtterTrawl",6,2006,1,0,0,0,0,0,0,-3.1,4.71904897689819,64.0410842895508,0.0376062765717506,15.7580919265747,30.1397285461426,195.349975585938,0,13,0,1365,113133.263273619,3286574.31371774,1,NA
"59",59,-84.77205,29.758833,"APM2006060307","OtterTrawl",6,2006,1,0,0,0,0,0,0,-2.4,2.42227697372437,39.4719467163086,0.0332919210195541,15.3340339660645,31.0531120300293,194.321884155273,0,15,0,1375,135183.458217777,3298028.61414012,1,NA
"60",60,-84.9713,29.743683,"APM2006061105","OtterTrawl",6,2006,0,1,0,0,0,0,0,-2,0.0806111693382263,56.2637672424316,0.0374064259231091,15.683988571167,30.2817687988281,195.288787841797,0,16,0,1384,115839.582411718,3296995.72613982,1,NA
"61",61,-85.017333,29.676283,"APM2006070304","OtterTrawl",7,2006,1,0,0,0,0,0,0,-2.5,3.91491389274597,64.018913269043,0.0376797318458557,15.7819375991821,30.0990447998047,195.434097290039,0,20,0,1392,111122.633324338,3289672.57621969,1,NA
"62",62,-84.9839,29.697433,"APM2006070305","OtterTrawl",7,2006,1,0,0,0,0,0,0,-2,2.13303017616272,59.9953765869141,0.037746824324131,15.6874179840088,30.1998233795166,195.296203613281,0,18,0,1393,114442.564735677,3291906.80722574,1,NA
"63",63,-84.937333,29.6708,"APM2006070306","OtterTrawl",7,2006,1,1,0,0,0,0,0,-3.1,3.00655126571655,58.079948425293,0.0370675139129162,15.6360664367676,30.7342109680176,195.110076904297,0,17,0,1394,118852.216724051,3288797.50808364,1,NA
"64",64,-84.930683,29.672467,"APM2006070307","OtterTrawl",7,2006,0,1,0,0,0,0,0,-3,2.90718388557434,57.4529113769531,0.0369540266692638,15.623908996582,30.8633308410645,195.076217651367,0,15,0,1395,119502.769515655,3288960.50684403,1,NA
"65",65,-84.820683,29.739517,"APM2006070502","OtterTrawl",7,2006,0,1,0,0,0,0,0,-3.3,2.14892601966858,44.4877586364746,0.0341023840010166,15.4012861251831,30.5794506072998,194.467376708984,0,18,0,1396,130405.338427309,3296040.92939469,1,NA
"66",66,-84.798633,29.72625,"APM2006070503","OtterTrawl",7,2006,1,0,0,0,0,0,0,-3.2,2.97659993171692,43.7387237548828,0.0339707806706429,15.3780632019043,30.5873432159424,194.407089233398,0,16,0,1397,132491.490114469,3294498.73260625,1,NA
"67",67,-84.940533,29.730933,"APM2006080602","OtterTrawl",8,2006,1,1,0,0,0,0,0,-2.3,1.69762492179871,54.4513511657715,0.0370991490781307,15.5960674285889,30.3460502624512,195.086624145508,0,18,0,1413,118769.880405737,3295479.07548078,1,NA
"68",68,-84.925633,29.654383,"APM2006080603","OtterTrawl",8,2006,0,1,0,0,0,0,0,-3,0.84192681312561,58.2977828979492,0.0368395633995533,15.6581783294678,31.3000431060791,195.114883422852,0,24,0,1414,119923.877597096,3286937.70771169,1,NA
"69",69,-85.067617,29.613367,"APM2006080701","OtterTrawl",8,2006,0,1,0,0,0,0,0,-2.3,0.425479918718338,72.0527725219727,0.0394850820302963,15.8889980316162,30.5490398406982,195.657165527344,0,36,0,1415,106005.449283264,3282862.77295975,1,NA
"70",70,-85.016717,29.664583,"APM2006080702","OtterTrawl",8,2006,1,0,0,0,0,0,0,-2.7,5.1546802520752,64.6877288818359,0.0377871654927731,15.7855892181396,30.0978088378906,195.428802490234,0,26,0,1416,111137.192415335,3288372.47504618,1,NA
"71",71,-84.688183,29.828217,"APM2006080806","OtterTrawl",8,2006,1,0,0,0,0,0,0,-3,0.184750109910965,28.2873840332031,0.0308714676648378,15.0428171157837,31.0060443878174,193.811248779297,0,24,0,1419,143547.004740047,3305462.13611688,1,NA
"72",72,-84.832383,29.753617,"APM2006080904","OtterTrawl",8,2006,1,1,0,0,0,0,0,-2.6,0.403129518032074,44.4422836303711,0.0341297313570976,15.4162836074829,30.5882320404053,194.511245727539,0,29,0,1422,129324.661930404,3297642.63166806,1,NA
"73",73,-86.226117,30.455683,"APM2006086102","OtterTrawl",8,2006,0,1,0,0,0,0,0,-3.8,2.08839726448059,112.51293182373,0.0336583182215691,16.4633407592773,25.5084285736084,199.172180175781,0,2,0,1428,-2068.78310130577,3380906.87322749,1,NA
"74",74,-85.024217,29.620983,"APM2006091101","OtterTrawl",9,2006,0,1,0,0,0,0,0,-3.4,2.16563010215759,68.1303405761719,0.0384710244834423,15.8192186355591,30.2704277038574,195.463745117188,0,17,0,1443,110242.18525183,3283560.6527289,1,NA
"75",75,-84.649,29.833967,"APM2006091201","OtterTrawl",9,2006,1,1,0,0,0,0,0,-2.8,1.46647131443024,24.9443359375,0.0304939076304436,15.0140495300293,31.0994148254395,193.775924682617,0,25,0,1445,147356.788041268,3305979.06663474,1,NA
"76",76,-85.041267,29.632483,"APM2006100501","OtterTrawl",10,2006,0,1,0,0,0,0,0,-2.7,3.36793684959412,68.7082214355469,0.038674958050251,15.8340940475464,30.0385093688965,195.509887695312,0,15,0,1453,108633.994597165,3284894.09862982,1,NA
"77",77,-85.0016,29.6154,"APM2006100502","OtterTrawl",10,2006,1,1,0,0,0,0,0,-3.3,1.20354545116425,66.7813720703125,0.0381694808602333,15.796947479248,30.60422706604,195.407989501953,0,8,0,1454,112413.135910807,3282865.2502323,1,NA
"78",78,-84.995533,29.6737,"APM2006100503","OtterTrawl",10,2006,1,0,0,0,0,0,0,-2.1,4.46970748901367,62.4509582519531,0.037627711892128,15.7375860214233,30.1531963348389,195.347900390625,0,15,0,1455,113224.721341671,3289312.77747838,1,NA
"79",79,-84.9348,29.65385,"APM2006100504","OtterTrawl",10,2006,0,1,0,0,0,0,0,-2.9,1.34914600849152,59.0587844848633,0.0369152128696442,15.6684617996216,31.0112838745117,195.143905639648,0,21,0,1456,119033.6087946,3286908.77263653,1,NA
"80",80,-84.9287,29.659833,"APM2006100505","OtterTrawl",10,2006,1,1,0,0,0,0,0,-3,1.48313450813293,58.2167129516602,0.0368835479021072,15.6504993438721,31.1118755340576,195.109405517578,0,13,0,1457,119647.24024938,3287552.40433522,1,NA
"81",81,-84.9421,29.726367,"APM2006100506","OtterTrawl",10,2006,0,1,0,0,0,0,0,-2,2.17896151542664,54.8911628723145,0.0372411161661148,15.5940179824829,30.3360233306885,195.090591430664,0,25,0,1458,118600.847149065,3294977.71779618,1,NA
"82",82,-84.823417,29.751767,"APM2006100508","OtterTrawl",10,2006,1,1,0,0,0,0,0,-2.3,0.738992154598236,43.9095993041992,0.0340339727699757,15.409405708313,30.5993824005127,194.485412597656,0,23,0,1459,130185.722514641,3297408.5930447,1,NA
"83",83,-84.7304,29.7981,"APM2006100605","OtterTrawl",10,2006,1,0,0,0,0,0,0,-1.9,0.883051216602325,33.6316604614258,0.0316269434988499,15.1510629653931,30.9034862518311,193.977401733398,0,5,0,1463,139355.635925083,3302253.08792068,1,NA
"84",84,-84.98585,29.669483,"APM2006110504","OtterTrawl",11,2006,1,0,0,0,0,0,0,-2.2,5.09714794158936,61.9354057312012,0.0375682003796101,15.7208967208862,30.175651550293,195.309188842773,0,12,0,1485,114146.694083204,3288812.54207924,1,NA
"85",85,-84.851317,29.700383,"APM2006110506","OtterTrawl",11,2006,1,1,0,0,0,0,0,-2.5,3.04376363754272,49.5006446838379,0.0349621064960957,15.430778503418,30.841272354126,194.557815551758,0,16,0,1486,127294.790938969,3291798.37570539,1,NA
"86",86,-84.796083,29.69145,"APM2006110507","OtterTrawl",11,2006,1,1,0,0,0,0,0,-2,0.403166264295578,46.1210556030273,0.0348710566759109,15.3618583679199,31.333251953125,194.443420410156,0,15,0,1487,132611.44036531,3290630.31821478,1,NA
"87",87,-84.832367,29.7544,"APM2006110508","OtterTrawl",11,2006,1,0,0,0,0,0,0,-2,0.320597171783447,44.3865547180176,0.0341228321194649,15.4166402816772,30.5899047851562,194.512008666992,0,16,0,1488,129329.098265742,3297729.43887644,1,NA
"88",88,-84.9278,29.71725,"APM2006110509","OtterTrawl",11,2006,0,1,0,0,0,0,0,-1.8,2.30038523674011,54.3323097229004,0.0368702299892902,15.5518493652344,30.3494358062744,194.968734741211,0,9,0,1489,119951.05639284,3293919.07918894,1,NA
"89",89,-84.534533,29.890583,"APM2006111104","OtterTrawl",11,2006,1,0,0,0,0,0,0,-3.2,1.90843892097473,12.5852651596069,0.0279602222144604,14.7154426574707,31.1901416778564,193.237442016602,0,8,0,1494,158619.378274705,3311912.83120629,1,NA
"90",90,-85.068333,29.6159,"APM2006120404","OtterTrawl",12,2006,1,0,0,0,0,0,0,-3.7,0.641412317752838,71.888069152832,0.039417240768671,15.8829231262207,30.419412612915,195.640182495117,0,2,0,1499,105945.914136859,3283146.23749607,1,NA
"91",91,-85.023183,29.6695,"APM2006120405","OtterTrawl",12,2006,0,1,0,0,0,0,0,-1.9,4.44810628890991,64.9027709960938,0.0377775132656097,15.7967414855957,30.0827350616455,195.455688476562,0,9,0,1500,110529.67452993,3288939.77224422,1,NA
"92",92,-84.951867,29.668333,"APM2006120406","OtterTrawl",12,2006,0,1,0,0,0,0,0,-2.8,3.72041916847229,59.4070739746094,0.0372978411614895,15.6596088409424,30.3940315246582,195.177993774414,0,12,0,1501,117434.771839345,3288571.88862438,1,NA
"93",93,-84.89455,29.701367,"APM2006121101","OtterTrawl",12,2006,0,1,0,0,0,0,0,-1.8,2.4138605594635,52.7859382629395,0.0358268208801746,15.4944534301758,30.6527767181396,194.746536254883,0,4,0,1513,123111.382994663,3292047.98193673,1,NA
"94",94,-84.820067,29.68485,"APM2006121102","OtterTrawl",12,2006,0,1,0,0,0,0,0,-2.7,0.690404832363129,48.2837944030762,0.0352607034146786,15.4057674407959,31.5697593688965,194.542495727539,0,14,0,1514,130264.275269554,3289974.77403208,1,NA
"95",95,-85.0366,29.672267,"APM2007010701","OtterTrawl",1,2007,0,1,0,0,0,0,0,-2,3.14741134643555,65.8200912475586,0.0378038808703423,15.8234615325928,30.0497779846191,195.508819580078,0,11,0,1521,109240.444072246,3289292.08794202,1,NA
"96",96,-85.060967,29.6154,"APM2007010702","OtterTrawl",1,2007,0,1,0,0,0,0,0,-3.8,0.86589527130127,71.423210144043,0.0393284484744072,15.8769664764404,30.4810333251953,195.622009277344,0,11,0,1522,106658.04600654,3283065.68817368,1,NA
"97",97,-85.0037,29.649183,"APM2007010703","OtterTrawl",1,2007,0,1,0,0,0,0,0,-2.6,4.90635871887207,64.6858139038086,0.0377348698675632,15.7718887329102,30.1212253570557,195.380493164062,0,13,0,1523,112339.26735698,3286620.21552947,1,NA
"98",98,-84.96115,29.649083,"APM2007010704","OtterTrawl",1,2007,0,1,0,0,0,0,0,-2.7,2.97788500785828,61.3994255065918,0.0370790399610996,15.7015285491943,30.2155895233154,195.224868774414,0,6,0,1524,116462.209349821,3286467.11396702,1,NA
"99",99,-84.931667,29.651083,"APM2007010705","OtterTrawl",1,2007,1,0,0,0,0,0,0,-2,0.93010812997818,58.971492767334,0.0368766263127327,15.6706657409668,31.1577796936035,195.141448974609,0,6,0,1525,119326.752204243,3286591.48435132,1,NA
"100",100,-84.907183,29.6694,"APM2007010706","OtterTrawl",1,2007,0,1,0,0,0,0,0,-2.1,1.98251688480377,55.8735198974609,0.0365430302917957,15.6016645431519,31.4742679595947,194.987716674805,0,2,0,1526,121767.924125078,3288543.06012261,1,NA
"101",101,-84.830067,29.748933,"APM2007010905","OtterTrawl",1,2007,1,0,0,0,0,0,0,-2.3,0.978388726711273,44.647834777832,0.0341495499014854,15.412899017334,30.5810604095459,194.501953125,0,8,0,1529,129531.578201462,3297115.58289091,1,NA
"102",102,-84.9165,29.6824,"APM2007020401","OtterTrawl",2,2007,0,1,0,0,0,0,0,-2.7,3.69615197181702,55.6881370544434,0.0366467162966728,15.5808248519897,30.9467239379883,194.971450805664,0,14,0,1537,120914.161652556,3290015.77595003,1,NA
"103",103,-84.902117,29.662083,"APM2007020402","OtterTrawl",2,2007,1,1,0,0,0,0,0,-2.7,1.03601372241974,56.004451751709,0.0365458503365517,15.6158514022827,31.8280906677246,195.006546020508,0,8,0,1538,122231.320476164,3287714.77003013,1,NA
